Mã đơn hàng,Ngày tạo đơn,Tên khách hàng,Trạng thái đơn hàng,Trạng thái thanh toán,Khách phải trả,Tổng tiền
ORD00000001,2024-07-16 14:27:01.983226+00:00,1,True,False,,100.00
ORD00000002,2024-07-16 14:27:34.480380+00:00,40,True,False,,2000.00
ORD00000005,2024-07-17 15:01:12.729998+00:00,1,False,False,,0.00
,2024-07-21 06:07:09.132702+00:00,41,False,False,,0.00
,2024-07-21 06:08:11.247775+00:00,43,False,False,,0.00
ORD00000007,2024-07-22 04:26:01.965572+00:00,39,True,True,,0.00
,2024-07-22 04:27:10.747866+00:00,38,False,False,,0.00
,2024-07-22 16:21:36.605327+00:00,1,False,False,,0.00
BOT02,2024-07-22 18:01:28.281590+00:00,39,False,False,,0.00
ORD00000009,2024-07-28 17:12:38.906460+00:00,1,False,False,,0.00
ORD00000010,2024-07-29 02:36:30.472139+00:00,39,False,False,,0.00
,2024-07-29 03:28:02.239093+00:00,1,False,False,,0.00
,2024-07-29 03:49:37.403666+00:00,38,False,False,,0.00
ORD00000011,2024-07-29 12:50:08.522472+00:00,38,False,False,,0.00
